episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-7201.0,-7201.0,-7201.0,7201.0,1,1,55000,5000,55000,False,7,11,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-22-51,1666794171,7.762979030609131,85.64989829063416,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,85.64989829063416,55000,11,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201]",7806.314,640.507,0.171,29314397.54,2125.034,2352.904,4.766,55000,55000,55000,5000,55000,35.23636363636364,84.51818181818182,500.0,0.00048828125,4.999999873689376e-05,3.4564576,-0.00064607715,3.4707358,-0.12355318,0.0019738423,1.363274,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,60000,5000,60000,False,8,12,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-22-59,1666794179,7.720250844955444,93.3701491355896,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,93.3701491355896,60000,12,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7778.926,642.762,0.17,29441976.695,2126.937,2350.799,4.712,60000,60000,60000,5000,60000,35.97272727272727,84.5,500.0,0.000244140625,4.999999873689376e-05,3.2308254,-0.0015154749,3.246007,-0.4933536,0.002351156,1.3666309,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,65000,5000,65000,False,9,13,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-23-07,1666794187,8.187525749206543,101.55767488479614,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,101.55767488479614,65000,13,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7812.588,639.993,0.169,29641724.382,2142.17,2334.082,4.778,65000,65000,65000,5000,65000,40.599999999999994,84.59166666666668,500.0,0.0001220703125,4.999999873689376e-05,2.9755576,-0.0017201952,2.9908462,-0.36400506,0.0021404224,1.3569217,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,0,1,70000,5000,70000,False,9,14,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-23-15,1666794195,7.9113547801971436,109.46902966499329,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,109.46902966499329,70000,14,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7845.055,637.344,0.169,29537352.113,2145.925,2329.997,4.805,70000,70000,70000,5000,70000,37.02727272727273,84.70909090909092,500.0,6.103515625e-05,4.999999873689376e-05,2.9177887,-0.0027623232,2.9340293,-0.47250104,0.0023484083,1.3477763,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,75000,5000,75000,False,10,15,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-23-23,1666794203,8.302287817001343,117.77131748199463,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,117.77131748199463,75000,15,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7895.929,633.238,0.175,28548216.717,2154.845,2320.353,4.839,75000,75000,75000,5000,75000,43.84166666666666,84.94166666666666,500.0,3.0517578125e-05,4.999999873689376e-05,3.0823553,-0.0015152957,3.0972626,-0.4695366,0.0026276559,1.3392372,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,80000,5000,80000,False,11,16,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-23-31,1666794211,7.749644756317139,125.52096223831177,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,125.52096223831177,80000,16,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7894.203,633.376,0.175,28490042.114,2164.039,2310.495,4.922,80000,80000,80000,5000,80000,39.154545454545456,84.97272727272728,500.0,1.52587890625e-05,4.999999873689376e-05,2.995517,-0.00045243412,3.0094895,-0.57408726,0.0019206919,1.3519654,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,0,1,85000,5000,85000,False,11,17,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-23-39,1666794219,7.640117645263672,133.16107988357544,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,133.16107988357544,85000,17,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7899.479,632.953,0.176,28332234.531,2160.839,2313.916,4.915,85000,85000,85000,5000,85000,36.96363636363637,84.91818181818182,500.0,7.62939453125e-06,4.999999873689376e-05,2.5600872,-0.0018401839,2.575365,-0.68614006,0.0019094913,1.3437927,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,90000,5000,90000,False,12,18,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-23-47,1666794227,7.7208662033081055,140.88194608688354,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,140.88194608688354,90000,18,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7872.686,635.107,0.176,28428249.966,2158.211,2316.733,4.945,90000,90000,90000,5000,90000,36.518181818181816,84.8090909090909,500.0,3.814697265625e-06,4.999999873689376e-05,2.3281028,-0.0012867104,2.3428335,-0.5514553,0.001725181,1.3443834,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,1,1,95000,5000,95000,False,13,19,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-23-55,1666794235,8.126593589782715,149.00853967666626,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,149.00853967666626,95000,19,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7934.583,630.153,0.174,28791213.619,2142.856,2333.335,4.868,95000,95000,95000,5000,95000,40.94166666666666,85.04166666666667,500.0,1.9073486328125e-06,4.999999873689376e-05,2.8292468,-0.0015469807,2.8441682,-0.47447145,0.0017757737,1.3374794,0.009999999776482582
-7201.0,-7201.0,-7201.0,7201.0,0,1,100000,5000,100000,False,13,20,71bca_00000,81a39f00bdef4611877cb18935a40f00,2022-10-26_15-24-03,1666794243,7.689253807067871,156.69779348373413,709877,pl-gonzal.cis.strath.ac.uk,172.17.248.57,156.69779348373413,100000,20,8.816381454467773,"[-7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0, -7201.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7919.291,631.37,0.174,28716308.366,2142.098,2334.161,4.99,100000,100000,100000,5000,100000,36.26363636363636,85.10909090909091,500.0,9.5367431640625e-07,4.999999873689376e-05,2.4732733,-0.0017591357,2.4883752,-0.50364274,0.0020119203,1.3342949,0.009999999776482582
