episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-72010.0,-72010.0,-72010.0,7201.0,1,1,55000,5000,55000,False,7,11,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-37,1666793857,7.378575563430786,93.35382437705994,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,93.35382437705994,55000,11,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201]",8575.239,583.074,0.165,30393507.246,2196.928,2275.906,5.401,55000,55000,55000,5000,55000,35.94,85.01999999999998,500.0,0.00048828125,4.999999873689376e-05,3.7521985,-0.0011154322,3.766913,-0.24237837,0.0016118627,1.3599539,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,60000,5000,60000,False,8,12,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-45,1666793865,7.766895771026611,101.12072014808655,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,101.12072014808655,60000,12,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8540.859,585.421,0.173,28826831.615,2172.382,2301.621,4.755,60000,60000,60000,5000,60000,36.17272727272728,84.88181818181818,500.0,0.000244140625,4.999999873689376e-05,3.5555475,-0.00092824874,3.5700629,-0.48084763,0.0012457329,1.358738,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,65000,5000,65000,False,9,13,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-52,1666793872,7.710479974746704,108.83120012283325,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,108.83120012283325,65000,13,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7854.107,636.61,0.173,28922245.208,2140.856,2335.514,4.736,65000,65000,65000,5000,65000,35.9,84.78181818181818,500.0,0.0001220703125,4.999999873689376e-05,3.4412544,-0.0016394546,3.4564855,-0.6190506,0.0016244918,1.3592299,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,70000,5000,70000,False,9,14,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-00,1666793880,7.732621192932129,116.56382131576538,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,116.56382131576538,70000,14,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7762.466,644.125,0.172,29139252.466,2147.829,2327.932,4.722,70000,70000,70000,5000,70000,36.4,84.73636363636365,500.0,6.103515625e-05,4.999999873689376e-05,3.231709,-0.0013728103,3.2466269,-0.51202697,0.0019886422,1.3545161,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,75000,5000,75000,False,10,15,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-08,1666793888,7.784321546554565,124.34814286231995,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,124.34814286231995,75000,15,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7765.031,643.912,0.173,28982200.111,2143.868,2332.233,4.775,75000,75000,75000,5000,75000,40.59166666666667,84.65,500.0,3.0517578125e-05,4.999999873689376e-05,3.421676,-0.0010370594,3.436189,-0.14282198,0.0020190608,1.3476014,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,80000,5000,80000,False,11,16,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-16,1666793896,7.757071256637573,132.10521411895752,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,132.10521411895752,80000,16,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7765.113,643.906,0.173,28918257.033,2151.921,2323.505,4.759,80000,80000,80000,5000,80000,35.981818181818184,84.6909090909091,500.0,1.52587890625e-05,4.999999873689376e-05,3.1159768,-0.00078622595,3.1302,-0.32689896,0.0020560152,1.3436406,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,85000,5000,85000,False,11,17,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-24,1666793904,7.796899080276489,139.902113199234,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,139.902113199234,85000,17,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7782.354,642.479,0.173,28830794.611,2149.668,2325.94,4.762,85000,85000,85000,5000,85000,36.627272727272725,84.63636363636364,500.0,7.62939453125e-06,4.999999873689376e-05,3.2208827,-0.0016295528,3.2357306,-0.34260124,0.0033484453,1.3218377,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,90000,5000,90000,False,12,18,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-31,1666793911,7.762830495834351,147.66494369506836,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,147.66494369506836,90000,18,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7773.416,643.218,0.173,28830794.611,2155.375,2319.782,4.799,90000,90000,90000,5000,90000,36.345454545454544,84.73636363636363,500.0,3.814697265625e-06,4.999999873689376e-05,3.13746,-0.0019945612,3.1527293,-0.11205372,0.003207393,1.3274665,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,95000,5000,95000,False,13,19,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-40,1666793920,8.041831731796265,155.70677542686462,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,155.70677542686462,95000,19,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7794.955,641.441,0.175,28532680.272,2148.812,2326.867,4.789,95000,95000,95000,5000,95000,40.15,84.96666666666667,500.0,1.9073486328125e-06,4.999999873689376e-05,3.016204,-0.0018248172,3.0311162,-0.1246042,0.0027099936,1.3087225,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,100000,5000,100000,False,13,20,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-47,1666793927,7.763141632080078,163.4699170589447,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,163.4699170589447,100000,20,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7778.242,642.819,0.175,28513283.481,2155.695,2319.438,4.82,100000,100000,100000,5000,100000,36.86363636363637,85.02727272727273,500.0,9.5367431640625e-07,4.999999873689376e-05,3.1633842,-0.002934509,3.1791375,-0.42303768,0.0041414592,1.2818788,0.009999999776482582
